par_id,text,label
4341,"Between 1920 and 1974, an estimated 150,000 children from poor families were sent to parts of the British Empire, by religious orders and charity organizations who said they would live a better life.",1
4136,Durban's homeless communities of reconciliation lunch,1
10352,"The next immediate problem that came up was how to support the unfortunate couple, since none of them had a birth certificate, a marriage certificate or even an identity card. The Samurdhi officer Dhanapala complained and explained how painful it was for him when he came across the majority of the poor families in the village, did not even have an ID to officially support them.",1
8279,Much more important than the effects on the assembly gods (is the dollar up or down?) The result of the last night will also have a better life in the next three years.,1
1164,"Strengthening the child-sensitive social protection systems, including the cash transfer programs that help poor families to pay for food, health care, education and other services, protect children from the effects of poverty and improve their opportunities, the cycle in their own life to break.",1
7568,Today homeless women are still looking for the same. A place to sleep and be safe.,1
6027,"As a member of Care of Hope, Barnett regularly provides food for street people. However, she has nothing to have to cook to feed homeless and the needy that she said because this is basically something that is already in her alley.",1
9343,"Lojects have this message to others who may still be enthusiastic about illegal drugs: ""Don't be hopeless because there is hope. You can still change. Therefore I see when I have been killed in TV drug users and dealers Tell me that you should have the chance to change them to such a place.",1
1231,A shocking trip night falls in this part of Morocco now and a cold winter threatens to take the homeless Africans to take their risk before the conditions deteriorate and in the middle of sometimes strict treatment by authorities.,1
911,"Those from poor families left the school with greater probability without qualifications, had babies before they were 20 years old, committed crimes, go into well -being and have addiction and have other psychological health problems in adulthood.",1
5431,"In the midst of all of these orientations and repositioning, the mass of the Nigerian is poor, unhealthy, uneducated, unemployed, unemployed, homeless, hungry, medium and abandoned. But when it comes to difficulties, those with direct access to state resources and those who wish direct access will play ethnic, religious or gender -specific map in order to achieve the desired result.",1
9047,"This is in a new attempt to draw attention to the emergency of the homeless, orphaned, abandoned, abused, abused and needy children on the African continent, a passion that Sirleaf shares with the foundation.",1
951,"Together with Ms. Vicky, Cornell founded the Chris & Amp; Vicky Cornell Foundation, a charity that works with endangered children. The charity organization is currently focusing on protecting these children from devastating homelessness, poverty, abuse and neglect. <h> 7. Kuba concert",1
606,"Born as a Christian, my humility and respect, especially older people and boys of our society, are very firm, suitable and intact. In the same way, my defense and justice for helpless and vulnerable is the same.",1
6950,From rough sleep to the published author: The history of this man makes her think twice about ignoring the homeless people,1
2385,"""Bruce has done a fantastic job in the training of young people, especially young people who come from the poorest of the poor families who have never had the opportunity to buy a cricket slower at all.""",1
4491,"""Volleyball is our reputation in Sports Sport. Apart from her modest blessing.",1
2872,"Ms. Archibald ""had space in her heart for everyone and believed that every person should be valued and respected,"" said the family, noticing that she worked in a homeless shelter before moving overseas. ""She would have had no understanding of the calling cruelty that caused her death.""",1
9054,"Although many of these students are selected to subordinate services, the service can collect their poor families. <h> effects",1
