par_id,text,label
4341,"The regime saw around 150,000 children of poor families sent to some parts of the British Empire between 1920 and 1974, by religious orders and charitable organizations that said they would lead a better life.",1
4136,Durban's Homeless Communities Recciliation Lunch,1
10352,"The next immediate problem that arose was how to help the unfortunate couple, because none had a birth certificate, a marriage certificate or even an identity card. Officer Samurdhi Dhanapala deplored by explaining how scary he was for him to wear, when he came across the majority of poor families in the village did not even have an identity document to officially help them.",1
8279,Much more important than the implications for the gods of the economy (the dollar up or down?) The results last night will also mean that many vulnerable New Zealanders will have a better life in the next three years at least.,1
1164,"To strengthen children's sensitive social protection systems, including cash transfer programs that directly help poor families pay food, health care, education and other services that protect children from the Impact of poverty and improve their chances of breaking the cycle in their own lives.",1
7568,"Today, homeless women are still looking for the same thing. A place to sleep and be safe.",1
6027,"As a member of Care of Hope, Barnett regularly provides food for street people. However, she does not bother me to cook to feed the homeless and the needy she said, because it is essentially something that is already in her alley.",1
9343,"Lougene has this message to others who can still be hung on illegal drugs: ""Do not be desperate because there is hope. You can always change. Tell me that they should have had a chance to change by bringing them to a place like this. """,1
1231,"A heartbreaking night of the trip falls early in this part of Morocco now and a cold winter is looming, encouraging the homeless Africans to try their luck before the conditions worsen, and in the midst of a treatment sometimes severe by the authorities.",1
911,"Those of poor families were more likely to leave school without qualifying, have babies before the age of 20, to commit crimes, to do well-being and to suffer dependence and other mental health problems in adulthood.",1
5431,"In the midst of all these alignments and repositioning, the mass of Nigerians remained poor, unhealthy, without instruction, unemployed, homeless, hungry, destitute and abandoned. But in the first suspicion of problems, those who have direct access to state resources and those who want direct access will play the ethnic, religious or gender card to achieve the desired result.",1
9047,"This is in a renewed effort to focus attention on the fate of homeless, orphans, abandoned, abused and indigent through the African continent, a passion that Sirleaf shares with the Foundation.",1
951,"With his wife Vicky, Cornell created Chris & amp; Vicky Cornell Foundation, a charitable organization that works with vulnerable children. The charitable organization is currently focusing on the protection of these children of homelessness, poverty, abuses and negligence. <h> 7. Cuba concert",1
606,"Born Christian, my humility and my respect for the elderly and young people in our society are very firm, appropriate and intact. In the same way, my defense and my justice for helpless and vulnerable are well identical.",1
6950,From Sleeping Rough to become a published author: the story of this man will make you think twice in ignoring the homeless,1
2385,"""Bruce did a fantastic job to train young people, especially young people who come from the poorest of poor families, who would never even have had the opportunity to buy a cricket bat.""",1
4491,"""Volleyball is our reputation in school sport. But as a disadvantaged school, we are unable to give all the necessary facilities for players. In addition, their support outside their humble blessings.",1
